windowId,block,room,level,subject
fenetre-1,A,salle-1,TROISIEME,MATHEMATIQUES
fenetre-1,A,salle-2,SECONDE,FRANCAIS
fenetre-1,B,salle-1,SECONDE,MATHEMATIQUES
fenetre-1,B,salle-2,PREMIERE,FRANCAIS
fenetre-1,C,salle-1,PREMIERE,MATHEMATIQUES
fenetre-1,C,salle-2,TROISIEME,FRANCAIS
fenetre-1,D,salle-1,PREMIERE,NSI
weekend-debut-fenetre-2,A,salle-2,PREMIERE,SVT
weekend-debut-fenetre-2,B,salle-2,PREMIERE,PHYSIQUE_CHIMIE
fenetre-2,A,salle-1,TERMINALE,MATHEMATIQUES
fenetre-2,D,salle-2,TERMINALE,PHYSIQUE_CHIMIE
fenetre-2,B,salle-1,TERMINALE,MATHS_EXPERTES
fenetre-2,C,salle-1,TERMINALE,NSI
fenetre-2,C,salle-2,TERMINALE,SVT
