level,subjects,status,maxIdleMinutes,totalIdleMinutes,daysPresent
TROISIEME,FRANCAIS,NO_SHARED_DAY,0,0,5
TROISIEME,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
TROISIEME,MATHEMATIQUES+FRANCAIS,COMPACT,15,75,5
SECONDE,FRANCAIS,NO_SHARED_DAY,0,0,5
SECONDE,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
SECONDE,FRANCAIS+MATHEMATIQUES,COMPACT,15,75,5
PREMIERE,FRANCAIS,NO_SHARED_DAY,0,0,5
PREMIERE,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
PREMIERE,NSI,NO_SHARED_DAY,0,0,5
PREMIERE,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,5
PREMIERE,SVT,NO_SHARED_DAY,0,0,5
PREMIERE,FRANCAIS+PHYSIQUE_CHIMIE,COMPACT,15,75,5
PREMIERE,MATHEMATIQUES+FRANCAIS,NO_SHARED_DAY,0,0,10
PREMIERE,MATHEMATIQUES+NSI,COMPACT,60,300,5
PREMIERE,MATHEMATIQUES+PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,10
PREMIERE,NSI+FRANCAIS,NO_SHARED_DAY,0,0,10
PREMIERE,NSI+PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,10
PREMIERE,SVT+FRANCAIS,NO_SHARED_DAY,0,0,10
PREMIERE,SVT+MATHEMATIQUES,COMPACT,15,75,5
PREMIERE,SVT+NSI,COMPACT,15,75,5
PREMIERE,SVT+PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,10
PREMIERE,MATHEMATIQUES+FRANCAIS+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,MATHEMATIQUES+NSI+FRANCAIS,COMPACT,60,300,10
PREMIERE,MATHEMATIQUES+NSI+PHYSIQUE_CHIMIE,COMPACT,60,300,10
PREMIERE,NSI+FRANCAIS+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,SVT+FRANCAIS+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,SVT+MATHEMATIQUES+FRANCAIS,COMPACT,15,75,10
PREMIERE,SVT+MATHEMATIQUES+NSI,COMPACT,60,375,5
PREMIERE,SVT+MATHEMATIQUES+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,SVT+NSI+FRANCAIS,COMPACT,15,75,10
PREMIERE,SVT+NSI+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,MATHEMATIQUES+NSI+FRANCAIS+PHYSIQUE_CHIMIE,COMPACT,60,375,10
PREMIERE,SVT+MATHEMATIQUES+FRANCAIS+PHYSIQUE_CHIMIE,COMPACT,15,150,10
PREMIERE,SVT+MATHEMATIQUES+NSI+FRANCAIS,COMPACT,60,375,10
PREMIERE,SVT+MATHEMATIQUES+NSI+PHYSIQUE_CHIMIE,COMPACT,60,375,10
PREMIERE,SVT+NSI+FRANCAIS+PHYSIQUE_CHIMIE,COMPACT,15,150,10
TERMINALE,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
TERMINALE,MATHS_EXPERTES,NO_SHARED_DAY,0,0,5
TERMINALE,NSI,NO_SHARED_DAY,0,0,5
TERMINALE,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,5
TERMINALE,SVT,NO_SHARED_DAY,0,0,5
TERMINALE,MATHEMATIQUES+NSI,COMPACT,60,300,5
