level,subjects,status,maxIdleMinutes,totalIdleMinutes,daysPresent
TROISIEME,FRANCAIS,NO_SHARED_DAY,0,0,5
TROISIEME,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
TROISIEME,MATHEMATIQUES+FRANCAIS,LONG_IDLE,195,975,5
SECONDE,FRANCAIS,NO_SHARED_DAY,0,0,5
SECONDE,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
SECONDE,FRANCAIS+MATHEMATIQUES,COMPACT,15,75,5
PREMIERE,FRANCAIS,NO_SHARED_DAY,0,0,5
PREMIERE,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
PREMIERE,NSI,NO_SHARED_DAY,0,0,5
PREMIERE,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,5
PREMIERE,SVT,NO_SHARED_DAY,0,0,5
PREMIERE,FRANCAIS+MATHEMATIQUES,COMPACT,60,300,5
PREMIERE,FRANCAIS+NSI,LONG_IDLE,195,975,5
PREMIERE,FRANCAIS+PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,10
PREMIERE,FRANCAIS+SVT,NO_SHARED_DAY,0,0,10
PREMIERE,MATHEMATIQUES+NSI,COMPACT,15,75,5
PREMIERE,MATHEMATIQUES+PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,10
PREMIERE,MATHEMATIQUES+SVT,NO_SHARED_DAY,0,0,10
PREMIERE,NSI+PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,10
PREMIERE,NSI+SVT,NO_SHARED_DAY,0,0,10
PREMIERE,SVT+PHYSIQUE_CHIMIE,COMPACT,15,75,5
PREMIERE,FRANCAIS+MATHEMATIQUES+NSI,COMPACT,60,375,5
PREMIERE,FRANCAIS+MATHEMATIQUES+PHYSIQUE_CHIMIE,COMPACT,60,300,10
PREMIERE,FRANCAIS+MATHEMATIQUES+SVT,COMPACT,60,300,10
PREMIERE,FRANCAIS+NSI+PHYSIQUE_CHIMIE,LONG_IDLE,195,975,10
PREMIERE,FRANCAIS+NSI+SVT,LONG_IDLE,195,975,10
PREMIERE,FRANCAIS+SVT+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,MATHEMATIQUES+NSI+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,MATHEMATIQUES+NSI+SVT,COMPACT,15,75,10
PREMIERE,MATHEMATIQUES+SVT+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,NSI+SVT+PHYSIQUE_CHIMIE,COMPACT,15,75,10
PREMIERE,FRANCAIS+MATHEMATIQUES+NSI+PHYSIQUE_CHIMIE,COMPACT,60,375,10
PREMIERE,FRANCAIS+MATHEMATIQUES+NSI+SVT,COMPACT,60,375,10
PREMIERE,FRANCAIS+MATHEMATIQUES+SVT+PHYSIQUE_CHIMIE,COMPACT,60,375,10
PREMIERE,FRANCAIS+NSI+SVT+PHYSIQUE_CHIMIE,LONG_IDLE,195,1050,10
PREMIERE,MATHEMATIQUES+NSI+SVT+PHYSIQUE_CHIMIE,COMPACT,15,150,10
TERMINALE,MATHEMATIQUES,NO_SHARED_DAY,0,0,5
TERMINALE,MATHS_EXPERTES,NO_SHARED_DAY,0,0,5
TERMINALE,NSI,NO_SHARED_DAY,0,0,5
TERMINALE,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0,0,5
TERMINALE,SVT,NO_SHARED_DAY,0,0,5
