level,subjectA,subjectB,status,maxIdleMinutes
TROISIEME,MATHEMATIQUES,FRANCAIS,COMPACT,15
SECONDE,FRANCAIS,MATHEMATIQUES,COMPACT,15
PREMIERE,SVT,MATHEMATIQUES,COMPACT,15
PREMIERE,SVT,NSI,COMPACT,15
PREMIERE,SVT,FRANCAIS,NO_SHARED_DAY,0
PREMIERE,SVT,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0
PREMIERE,MATHEMATIQUES,NSI,COMPACT,60
PREMIERE,MATHEMATIQUES,FRANCAIS,NO_SHARED_DAY,0
PREMIERE,MATHEMATIQUES,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0
PREMIERE,NSI,FRANCAIS,NO_SHARED_DAY,0
PREMIERE,NSI,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0
PREMIERE,FRANCAIS,PHYSIQUE_CHIMIE,COMPACT,15
TERMINALE,MATHS_EXPERTES,MATHEMATIQUES,COMPACT,15
TERMINALE,MATHS_EXPERTES,NSI,LONG_IDLE,195
TERMINALE,MATHS_EXPERTES,PHYSIQUE_CHIMIE,LONG_IDLE,195
TERMINALE,MATHS_EXPERTES,SVT,LONG_IDLE,195
TERMINALE,MATHEMATIQUES,NSI,COMPACT,60
TERMINALE,MATHEMATIQUES,PHYSIQUE_CHIMIE,COMPACT,60
TERMINALE,MATHEMATIQUES,SVT,COMPACT,60
TERMINALE,NSI,PHYSIQUE_CHIMIE,COMPACT,15
TERMINALE,NSI,SVT,COMPACT,15
TERMINALE,PHYSIQUE_CHIMIE,SVT,COMPACT,15
