level,subjectA,subjectB,status,maxIdleMinutes
TROISIEME,FRANCAIS,MATHEMATIQUES,LONG_IDLE,195
SECONDE,FRANCAIS,MATHEMATIQUES,COMPACT,15
PREMIERE,FRANCAIS,MATHEMATIQUES,COMPACT,60
PREMIERE,FRANCAIS,NSI,LONG_IDLE,195
PREMIERE,FRANCAIS,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0
PREMIERE,FRANCAIS,SVT,NO_SHARED_DAY,0
PREMIERE,MATHEMATIQUES,NSI,COMPACT,15
PREMIERE,MATHEMATIQUES,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0
PREMIERE,MATHEMATIQUES,SVT,NO_SHARED_DAY,0
PREMIERE,NSI,PHYSIQUE_CHIMIE,NO_SHARED_DAY,0
PREMIERE,NSI,SVT,NO_SHARED_DAY,0
PREMIERE,PHYSIQUE_CHIMIE,SVT,COMPACT,15
TERMINALE,MATHEMATIQUES,MATHS_EXPERTES,COMPACT,15
TERMINALE,MATHEMATIQUES,NSI,LONG_IDLE,195
TERMINALE,MATHEMATIQUES,PHYSIQUE_CHIMIE,LONG_IDLE,330
TERMINALE,MATHEMATIQUES,SVT,LONG_IDLE,195
TERMINALE,MATHS_EXPERTES,NSI,COMPACT,60
TERMINALE,MATHS_EXPERTES,PHYSIQUE_CHIMIE,LONG_IDLE,195
TERMINALE,MATHS_EXPERTES,SVT,COMPACT,60
TERMINALE,NSI,PHYSIQUE_CHIMIE,COMPACT,15
TERMINALE,NSI,SVT,SIMULTANEOUS,0
TERMINALE,PHYSIQUE_CHIMIE,SVT,COMPACT,15
