instrument_code,level,subject,profile,eds,delivery_mode,current_for_2026_2027,candidate_pdf,coach_pdf,duration,version,sha256,ready_to_send
QP,Tous,Questionnaire de parcours et contraintes,P1/P2/P3,,SELF_ADMINISTERED,oui,TOUS_QUESTIONNAIRE-PARCOURS_DIAGNOSTIC_V1_QUESTIONNAIRE.pdf,,20,standard,d50b6c083180467d49006716a7ec50ae8627f7a8cd43e6ac937396bff3f37383,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,non,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_DIAGNOSTIC_V1_CORRECTION.pdf,90,standard,f837133a66bcd134b4a5d8bba34a144ce4524d0e033c589181c9a71c04601d4a,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_DIAGNOSTIC_V1_CORRECTION.pdf,90,standard_2028,b3493bc0f59ae352e52d7d3e1f3fa7b70bf03b9c226774190421fe1889783034,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,non,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ECRIT-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ECRIT-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,80,ecrit,5720a7f1ab8579d72a13bc43b5d22efebf5695aa26b65b102f27ecb3f9b8aa15,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ECRIT-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ECRIT-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,80,ecrit_2028,b1d50952f07013660c2e3486bcacd2284d6ba1b0dea8186f44c2fb1a103af9ba,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,non,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ORAL-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ORAL-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,50,oral,2123d7f1a95920d086dc343d8c986c6d1c0bba938529d0be4a12d9d057fe6dd4,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ORAL-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ORAL-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,50,oral_2028,57bf3a0acbf6acc7468ba156ef66af031d2912f28be022f800de62fa0bcbc510,oui
FR-EAF-ORAL,Premiere,Épreuve orale anticipée de français — grille coach,P1/P2/P3,,COACH_INTERVIEW,oui,,1RE_FRANCAIS-ORAL_DIAGNOSTIC_V1_CORRECTION.pdf,20,standard,362ddd9304c8b67f41058233950a4a572c5e2b2748f353b4d43f0d1fbd2eccda,oui
FR-MAI,Terminale,Maîtrise du français comme outil de travail,P2/P3,,SELF_ADMINISTERED,oui,TLE_FRANCAIS-MAITRISE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_FRANCAIS-MAITRISE_DIAGNOSTIC_V1_CORRECTION.pdf,60,standard,cba76c39dc5cd4f70ef4f73019d9bec388473c3478fe34a9411e7f0600d105c7,oui
PHI,Terminale,Philosophie,P2/P3,,SELF_ADMINISTERED,oui,TLE_PHILOSOPHIE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_PHILOSOPHIE_DIAGNOSTIC_V1_CORRECTION.pdf,60,standard,6901f8283de3baa535685a6199d68065a0f1ac71f2bb1688c232c4093ecb6eeb,oui
TC-ES,Premiere,Tronc commun — enseignement scientifique,P1,,SELF_ADMINISTERED,oui,1RE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CORRECTION.pdf,40,1RE,472aaf55b8464b38fa34ed5f7e0360d1355c477bcca637d413cd3261a17700f3,oui
TC-ES,Terminale,Tronc commun — enseignement scientifique,P2,,SELF_ADMINISTERED,oui,TLE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CORRECTION.pdf,40,TLE,d9a4d3b74fa755178aa0d07fb8d95e8a7fa28e78cde187365a3528ec19f19122,oui
TC-ES,Premiere-et-Terminale,Tronc commun — enseignement scientifique,P3,,SELF_ADMINISTERED,oui,1RE-TLE_ENSEIGNEMENT-SCIENTIFIQUE_ETENDUE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE-TLE_ENSEIGNEMENT-SCIENTIFIQUE_ETENDUE_DIAGNOSTIC_V1_CORRECTION.pdf,55,ETENDUE,8dfd1de32e9e930aeccfb4fe9df758e1944ac5edc3deb9245d96156bcbc0b311,oui
MET,Tous,"Méthodes de travail, organisation, autonomie",P1/P2/P3,,SELF_ADMINISTERED,oui,TOUS_METHODES-DE-TRAVAIL_DIAGNOSTIC_V1_QUESTIONNAIRE.pdf,,20,standard,8b5c4f49451113fac1b80c7136408ae198a8527fa2bee8d767ead3ae88a0804f,oui
GO,Terminale,Grille d'entretien Grand oral — coach,P2/P3,,COACH_INTERVIEW,oui,,TLE_GRAND-ORAL_DIAGNOSTIC_V1_CORRECTION.pdf,15,standard,1bbb75bc19f2224204202b161ef87e96bc46c4d0ab9c46439da8b16be2c7b1e5,oui
EDS-MATH,Premiere,Spécialité mathématiques,P1/P3,MATH,SELF_ADMINISTERED,oui,1RE_SPE-MATHS_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-MATHS_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,bbdae97bf790286283304c7ab94929581b2ad9155ca76c4db5baa7fd5920c5ea,oui
EDS-MATH,Terminale,Spécialité mathématiques,P2/P3,MATH,SELF_ADMINISTERED,oui,TLE_SPE-MATHS_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-MATHS_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,e9115c26d6dc2d5c1a90efa80e695c4b2dfb86fbf5758ff5014340aac9fce260,oui
EDS-PC,Premiere,Spécialité physique-chimie,P1/P3,PC,SELF_ADMINISTERED,oui,1RE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,1a0d4331df1a9b19b3cc640d267cfee6980a4d7912d9be989402d4f8863c3ed8,oui
EDS-PC,Terminale,Spécialité physique-chimie,P2/P3,PC,SELF_ADMINISTERED,oui,TLE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,13684716a7a2a2841fbce78d3f1d56c4b56aaa46863c8472c074cac0d4f45840,oui
EDS-NSI,Premiere,Spécialité numérique et sciences informatiques,P1/P3,NSI,SELF_ADMINISTERED,oui,1RE_SPE-NSI_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-NSI_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,6f79223d496cb951324c69218f0699aecaaef7e0f8dcf8acf1de3ee0942254d4,oui
EDS-NSI,Terminale,Spécialité numérique et sciences informatiques,P2/P3,NSI,SELF_ADMINISTERED,oui,TLE_SPE-NSI_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-NSI_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,bc36e804ea5822994f55d746e7ec3260faab33adcb8ca7ec843eeea9404c2449,oui
EDS-SVT,Premiere,Spécialité sciences de la vie et de la Terre,P1/P3,SVT,SELF_ADMINISTERED,oui,1RE_SPE-SVT_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-SVT_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,129c629a1106944d4bfc606809d400dca8cd30491fa18f9c08ac86631a2eb0f2,oui
EDS-SVT,Terminale,Spécialité sciences de la vie et de la Terre,P2/P3,SVT,SELF_ADMINISTERED,oui,TLE_SPE-SVT_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-SVT_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,c5c328808c952f1a62867653b040ec78a3603dcfd1d4603d3d8715a081aa13ad,oui
EDS-SES,Premiere,Spécialité sciences économiques et sociales,P1/P3,SES,SELF_ADMINISTERED,oui,1RE_SPE-SES_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-SES_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,5d84e169c8685c49353b4ebcf82d0a5a946d8f2e4d0b4cf50b7d7bb84f76f8e0,oui
EDS-SES,Terminale,Spécialité sciences économiques et sociales,P2/P3,SES,SELF_ADMINISTERED,oui,TLE_SPE-SES_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-SES_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,48ccf7a8a94ec5ac577904b6c38139ea2d2cb2cce5fa2d189a8d0f65b8ef7d99,oui
EDS-HGGSP,Premiere,"Spécialité histoire-géographie, géopolitique et sciences politiques",P1/P3,HGGSP,SELF_ADMINISTERED,oui,1RE_SPE-HGGSP_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-HGGSP_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,586c2ca29dc49e55dca5fbf558cce5defcb79ce83ac7060ac3ca551ff316ca03,oui
EDS-HGGSP,Terminale,"Spécialité histoire-géographie, géopolitique et sciences politiques",P2/P3,HGGSP,SELF_ADMINISTERED,oui,TLE_SPE-HGGSP_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-HGGSP_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,193e9259a900965160113b6fd78aee508b40ac9778782571158e35ae2c1b887e,oui
EDS-HLP,Premiere,"Spécialité humanités, littérature et philosophie",P1/P3,HLP,SELF_ADMINISTERED,oui,1RE_SPE-HLP_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-HLP_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,17cbec11b98d1043a65cd1f1e52756480a045b8b564f18e6badb2958085dc616,oui
EDS-HLP,Terminale,"Spécialité humanités, littérature et philosophie",P2/P3,HLP,SELF_ADMINISTERED,oui,TLE_SPE-HLP_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-HLP_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,c0ac04c9892d634e0ba895187178ff2177d5b0cb7cf4de1d7709a5365ab1610d,oui
MATH-EA,Premiere,Mathématiques — épreuve anticipée de première,P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_MATHS-EPREUVE-ANTICIPEE_SPE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_MATHS-EPREUVE-ANTICIPEE_SPE_DIAGNOSTIC_V1_CORRECTION.pdf,75,SPE,899b3d8f121fdc1766ba4431171d4785a37190585c4e4974d2a2ef6427e3d7bc,oui
