candidate_ref,instrument,item_id,response,score,error_code,criterion,corrector_ref,session_date
CL-2026-0000,FR-EAF/standard,FR-EAF-REDA-01,,3,,IDEE,COR-01,2026-09-15
CL-2026-0000,FR-EAF/standard,FR-EAF-REDA-01,,0,,TEXTE,COR-01,2026-09-15
CL-2026-0000,FR-EAF/standard,FR-EAF-REDA-01,,1,,STRU,COR-01,2026-09-15
CL-2026-0000,FR-EAF/standard,FR-EAF-REDA-01,,3,,LANG,COR-01,2026-09-15
CL-2026-0000,FR-EAF-ORAL/standard,FR-EAF-ORAL,,1,,LECT,COR-01,2026-09-15
CL-2026-0000,FR-EAF-ORAL/standard,FR-EAF-ORAL,,1,,EXPLI,COR-01,2026-09-15
CL-2026-0000,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,GRAMM,COR-01,2026-09-15
CL-2026-0000,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,ENTRET,COR-01,2026-09-15
CL-2026-0000,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,LANGOR,COR-01,2026-09-15
CL-2026-0000,PHI/standard,PHI-T-TEXT-01,,3,,THESE,COR-01,2026-09-15
CL-2026-0000,PHI/standard,PHI-T-TEXT-01,,0,,ETAPES,COR-01,2026-09-15
CL-2026-0000,PHI/standard,PHI-T-TEXT-01,,3,,LANG,COR-01,2026-09-15
CL-2026-0000,PHI/standard,PHI-T-DISS-01,,3,,LANG,COR-01,2026-09-15
CL-2026-0000,PHI/standard,PHI-T-DISS-01,,3,,TERMES,COR-01,2026-09-15
CL-2026-0000,PHI/standard,PHI-T-DISS-01,,1,,PROBLEME,COR-01,2026-09-15
CL-2026-0000,PHI/standard,PHI-T-DISS-01,,0,,PLAN,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,1,,QUEST,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,1,,STRUCT,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,2,,DISCIP,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,1,,ARGU,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,1,,PRECIS,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,1,,LANGUE,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,3,,INTER,COR-01,2026-09-15
CL-2026-0000,GO/standard,GO,,1,,POSTURE,COR-01,2026-09-15
CL-2026-0000,MATH-EA/SPE,MEA-1-RAIS-01,,3,,DEMARCHE,COR-01,2026-09-15
CL-2026-0000,MATH-EA/SPE,MEA-1-RAIS-01,,3,,REDAC,COR-01,2026-09-15
CL-2026-0000,MATH-EA/SPE,MEA-1-RAIS-04,,2,,DEMPROB,COR-01,2026-09-15
CL-2026-0000,MATH-EA/SPE,MEA-1-RAIS-04,,0,,REDPROB,COR-01,2026-09-15
CL-2026-0000,MATH-EA/SPE,MEA-1-RAIS-01,,3,,EXACT,COR-01,2026-09-15
CL-2026-0000,MATH-EA/SPE,MEA-1-RAIS-04,,1,,EXACT,COR-01,2026-09-15
CL-2026-0000,EDS-MATH/NT,MATH-T-RAIS-04,,3,,DEMARCHE,COR-01,2026-09-15
CL-2026-0000,EDS-MATH/NT,MATH-T-RAIS-04,,3,,REDAC,COR-01,2026-09-15
CL-2026-0000,EDS-MATH/NT,MATH-T-RAIS-04,,0,,VERIF,COR-01,2026-09-15
CL-2026-0000,EDS-MATH/NT,MATH-T-RAIS-04,,2,,EXACT,COR-01,2026-09-15
CL-2026-0000,EDS-SES/N1,SES-1-DOCU-05,,3,,PRESENT,COR-01,2026-09-15
CL-2026-0000,EDS-SES/N1,SES-1-DOCU-05,,0,,ANALYSE,COR-01,2026-09-15
CL-2026-0000,EDS-SES/N1,SES-1-DOCU-05,,1,,LECTURE,COR-01,2026-09-15
CL-2026-0000,EDS-SES/N1,SES-1-DOCU-05,,3,,ARGUM,COR-01,2026-09-15
CL-2026-0000,EDS-SES/N1,SES-1-DOCU-05,,0,,MOBILIS,COR-01,2026-09-15
CL-2026-0000,EDS-PC/NT,PC-T-RES-02,,3,,MODEL,COR-01,2026-09-15
CL-2026-0000,EDS-PC/NT,PC-T-RES-02,,2,,CALCUL,COR-01,2026-09-15
CL-2026-0000,EDS-PC/NT,PC-T-RES-02,,0,,CRITIQUE,COR-01,2026-09-15
CL-2026-0000,EDS-PC/NT,PC-T-RES-02,,1,,UNITES,COR-01,2026-09-15
