candidate_ref,instrument,item_id,response,score,error_code,criterion,corrector_ref,session_date
CL-2026-0003,FR-EAF/standard,FR-EAF-0-COMP,3,,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-0-LANG,3,,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-0-ANAL,3,,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-0-ARGU,3,,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-0-REDA,3,,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-LANG-01,B,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-LANG-02,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-LANG-03,B,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-LANG-06,B,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-LANG-07,B,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-LANG-08,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-CULT-01,A,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-CULT-02,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-CULT-03,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-CULT-04,B,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-CULT-05,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-CULT-06,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-01,B,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-02,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-03,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-05,A,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-06,C,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-07,B,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-11,,0,FR-ERR-THESE,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-09,,2,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-COMP-10,,0,FR-ERR-CONNECT,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-GRAM-01,B,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-GRAM-02,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-GRAM-03,A,0,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-GRAM-04,B,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-GRAM-05,B,1,,,COR-01,2025-09-15
CL-2026-0003,FR-EAF/standard,FR-EAF-GRAM-06,B,1,,,COR-01,2025-09-15
