candidate_ref,instrument,item_id,response,score,error_code,criterion,corrector_ref,session_date
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-REDA-04,,3,,IDEE,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-REDA-04,,3,,TEXTE,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-REDA-04,,0,,STRU,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-REDA-04,,0,,LANG,COR-01,2026-09-15
CL-2026-0004,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,LECT,COR-01,2026-09-15
CL-2026-0004,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,EXPLI,COR-01,2026-09-15
CL-2026-0004,FR-EAF-ORAL/standard,FR-EAF-ORAL,,1,,GRAMM,COR-01,2026-09-15
CL-2026-0004,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,ENTRET,COR-01,2026-09-15
CL-2026-0004,FR-EAF-ORAL/standard,FR-EAF-ORAL,,2,,LANGOR,COR-01,2026-09-15
CL-2026-0004,MATH-EA/SPECIFIQUES,MEA-1-RAIS-01,,3,,DEMARCHE,COR-01,2026-09-15
CL-2026-0004,MATH-EA/SPECIFIQUES,MEA-1-RAIS-01,,2,,REDAC,COR-01,2026-09-15
CL-2026-0004,MATH-EA/SPECIFIQUES,MEA-1-RAIS-04,,0,,DEMPROB,COR-01,2026-09-15
CL-2026-0004,MATH-EA/SPECIFIQUES,MEA-1-RAIS-04,,0,,REDPROB,COR-01,2026-09-15
CL-2026-0004,MATH-EA/SPECIFIQUES,MEA-1-RAIS-01,,3,,EXACT,COR-01,2026-09-15
CL-2026-0004,MATH-EA/SPECIFIQUES,MEA-1-RAIS-04,,0,,EXACT,COR-01,2026-09-15
CL-2026-0004,EDS-PC/N1,PC-1-RES-01,,3,,MODEL,COR-01,2026-09-15
CL-2026-0004,EDS-PC/N1,PC-1-RES-01,,3,,CALCUL,COR-01,2026-09-15
CL-2026-0004,EDS-PC/N1,PC-1-RES-01,,0,,CRITIQUE,COR-01,2026-09-15
CL-2026-0004,EDS-PC/N1,PC-1-RES-01,,0,,UNITES,COR-01,2026-09-15
CL-2026-0004,EDS-SVT/N1,SVT-1-REDA-01,,0,,EXTRAIT,COR-01,2026-09-15
CL-2026-0004,EDS-SVT/N1,SVT-1-REDA-01,,0,,RELATION,COR-01,2026-09-15
CL-2026-0004,EDS-SVT/N1,SVT-1-REDA-01,,3,,RAISON,COR-01,2026-09-15
CL-2026-0004,EDS-SVT/N1,SVT-1-REDA-01,,1,,VOCAB,COR-01,2026-09-15
CL-2026-0004,EDS-SES/N1,SES-1-DOCU-05,,3,,PRESENT,COR-01,2026-09-15
CL-2026-0004,EDS-SES/N1,SES-1-DOCU-05,,0,,ANALYSE,COR-01,2026-09-15
CL-2026-0004,EDS-SES/N1,SES-1-DOCU-05,,0,,LECTURE,COR-01,2026-09-15
CL-2026-0004,EDS-SES/N1,SES-1-DOCU-05,,3,,ARGUM,COR-01,2026-09-15
CL-2026-0004,EDS-SES/N1,SES-1-DOCU-05,,0,,MOBILIS,COR-01,2026-09-15
