candidate_ref,instrument,item_id,response,score,error_code,criterion,corrector_ref,session_date
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-0-COMP,3,,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-0-LANG,3,,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-0-ANAL,3,,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-0-ARGU,3,,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-0-REDA,2,,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-LANG-01,A,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-LANG-02,D,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-LANG-03,B,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-LANG-06,A,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-LANG-07,C,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-LANG-08,B,0,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-CULT-01,C,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-CULT-02,B,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-CULT-03,A,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-CULT-07,B,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-CULT-09,A,0,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-CULT-08,A,0,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-01,D,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-02,D,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-03,D,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-05,D,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-06,B,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-07,B,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-11,,1,FR-ERR-THESE,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-09,,0,FR-ERR-THESE,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-COMP-10,,0,FR-ERR-CONNECT,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-01,C,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-02,A,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-03,A,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-04,B,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-05,A,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-06,C,1,,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-07,,0,FR-ERR-GRAM-NATURE,,COR-01,2026-09-15
CL-2026-0004,FR-EAF/standard_2028,FR-EAF-GRAM-08,,0,FR-ERR-GRAM-NATURE,,COR-01,2026-09-15
