profil,profil_libelle,matiere,variante,livret_candidat,correction_coach,instruments_internes,session,packs_concernes
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Enseignement moral et civique,UNIQUE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf,TC-EMC/1RE,2028,35
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Enseignement moral et civique,UNIQUE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf,TC-EMC/TLE,2027,99
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Enseignement moral et civique,UNIQUE,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf,ENSEIGNEMENT_MORAL_ET_CIVIQUE.pdf,TC-EMC/ETENDUE,2027,70
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Enseignement scientifique,UNIQUE,ENSEIGNEMENT_SCIENTIFIQUE.pdf,ENSEIGNEMENT_SCIENTIFIQUE.pdf,TC-ES/1RE,2028,35
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Enseignement scientifique,UNIQUE,ENSEIGNEMENT_SCIENTIFIQUE.pdf,ENSEIGNEMENT_SCIENTIFIQUE.pdf,TC-ES/TLE,2027,99
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Enseignement scientifique,UNIQUE,ENSEIGNEMENT_SCIENTIFIQUE.pdf,ENSEIGNEMENT_SCIENTIFIQUE.pdf,TC-ES/ETENDUE,2027,70
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Français,ECRIT_ET_ORAL,FRANCAIS_ECRIT_ET_ORAL.pdf,FRANCAIS_ECRIT_ET_ORAL.pdf,FR-EAF/standard_2028 FR-EAF-ORAL/standard,2028,35
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Français,ECRIT_SEUL,FRANCAIS_ECRIT_SEUL.pdf,FRANCAIS_ECRIT_SEUL.pdf,FR-EAF/ecrit,2027,21
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Français,ORAL_SEUL,FRANCAIS_ORAL_SEUL.pdf,FRANCAIS_ORAL_SEUL.pdf,FR-EAF/oral FR-EAF-ORAL/standard,2027,21
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Français,ECRIT_ET_ORAL,FRANCAIS_ECRIT_ET_ORAL.pdf,FRANCAIS_ECRIT_ET_ORAL.pdf,FR-EAF/standard FR-EAF-ORAL/standard,2027,21
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Français,ECRIT_ET_ORAL,FRANCAIS_ECRIT_ET_ORAL.pdf,FRANCAIS_ECRIT_ET_ORAL.pdf,FR-EAF/standard FR-EAF-ORAL/standard,2027,70
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Maîtrise du français,UNIQUE,MAITRISE_DU_FRANCAIS.pdf,MAITRISE_DU_FRANCAIS.pdf,FR-MAI/standard,2027,99
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Maîtrise du français,UNIQUE,MAITRISE_DU_FRANCAIS.pdf,MAITRISE_DU_FRANCAIS.pdf,FR-MAI/standard,2027,35
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Grand oral,UNIQUE,GRAND_ORAL.pdf,GRAND_ORAL.pdf,GO/standard,2027,99
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Grand oral,UNIQUE,GRAND_ORAL.pdf,GRAND_ORAL.pdf,GO/standard,2027,70
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Histoire-géographie,UNIQUE,HISTOIRE-GEOGRAPHIE.pdf,HISTOIRE-GEOGRAPHIE.pdf,TC-HG/1RE,2028,35
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Histoire-géographie,UNIQUE,HISTOIRE-GEOGRAPHIE.pdf,HISTOIRE-GEOGRAPHIE.pdf,TC-HG/TLE,2027,99
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Histoire-géographie,UNIQUE,HISTOIRE-GEOGRAPHIE.pdf,HISTOIRE-GEOGRAPHIE.pdf,TC-HG/ETENDUE,2027,70
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Mathématiques,AVEC_SPECIALITE,MATHEMATIQUES_AVEC_SPECIALITE.pdf,MATHEMATIQUES_AVEC_SPECIALITE.pdf,MATH-EA/SPE EDS-MATH/N1,2028,15
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Mathématiques,SANS_SPECIALITE,MATHEMATIQUES_SANS_SPECIALITE.pdf,MATHEMATIQUES_SANS_SPECIALITE.pdf,MATH-EA/SPECIFIQUES,2028,20
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Mathématiques,AVEC_SPECIALITE,MATHEMATIQUES_AVEC_SPECIALITE.pdf,MATHEMATIQUES_AVEC_SPECIALITE.pdf,EDS-MATH/NT,2027,24
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Mathématiques,SANS_SPECIALITE,MATHEMATIQUES_SANS_SPECIALITE.pdf,MATHEMATIQUES_SANS_SPECIALITE.pdf,MATH-EA/SPECIFIQUES,2027,15
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Mathématiques,AVEC_SPECIALITE,MATHEMATIQUES_AVEC_SPECIALITE.pdf,MATHEMATIQUES_AVEC_SPECIALITE.pdf,MATH-EA/SPE EDS-MATH/NT,2027,30
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Mathématiques,SANS_SPECIALITE,MATHEMATIQUES_SANS_SPECIALITE.pdf,MATHEMATIQUES_SANS_SPECIALITE.pdf,MATH-EA/SPECIFIQUES,2027,40
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Philosophie,UNIQUE,PHILOSOPHIE.pdf,PHILOSOPHIE.pdf,PHI/standard,2027,99
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Philosophie,UNIQUE,PHILOSOPHIE.pdf,PHILOSOPHIE.pdf,PHI/standard,2027,70
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Spécialité HGGSP,UNIQUE,SPECIALITE_HGGSP.pdf,SPECIALITE_HGGSP.pdf,EDS-HGGSP/N1,2028,15
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Spécialité HGGSP,UNIQUE,SPECIALITE_HGGSP.pdf,SPECIALITE_HGGSP.pdf,EDS-HGGSP/NT,2027,29
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Spécialité HGGSP,UNIQUE,SPECIALITE_HGGSP.pdf,SPECIALITE_HGGSP.pdf,EDS-HGGSP/NT,2027,30
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Spécialité HLP,UNIQUE,SPECIALITE_HLP.pdf,SPECIALITE_HLP.pdf,EDS-HLP/N1,2028,15
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Spécialité HLP,UNIQUE,SPECIALITE_HLP.pdf,SPECIALITE_HLP.pdf,EDS-HLP/NT,2027,29
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Spécialité HLP,UNIQUE,SPECIALITE_HLP.pdf,SPECIALITE_HLP.pdf,EDS-HLP/NT,2027,30
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Spécialité NSI,UNIQUE,SPECIALITE_NSI.pdf,SPECIALITE_NSI.pdf,EDS-NSI/N1,2028,15
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Spécialité NSI,UNIQUE,SPECIALITE_NSI.pdf,SPECIALITE_NSI.pdf,EDS-NSI/NT,2027,29
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Spécialité NSI,UNIQUE,SPECIALITE_NSI.pdf,SPECIALITE_NSI.pdf,EDS-NSI/NT,2027,30
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Spécialité physique-chimie,UNIQUE,SPECIALITE_PHYSIQUE-CHIMIE.pdf,SPECIALITE_PHYSIQUE-CHIMIE.pdf,EDS-PC/N1,2028,15
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Spécialité physique-chimie,UNIQUE,SPECIALITE_PHYSIQUE-CHIMIE.pdf,SPECIALITE_PHYSIQUE-CHIMIE.pdf,EDS-PC/NT,2027,29
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Spécialité physique-chimie,UNIQUE,SPECIALITE_PHYSIQUE-CHIMIE.pdf,SPECIALITE_PHYSIQUE-CHIMIE.pdf,EDS-PC/NT,2027,30
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Spécialité SES,UNIQUE,SPECIALITE_SES.pdf,SPECIALITE_SES.pdf,EDS-SES/N1,2028,15
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Spécialité SES,UNIQUE,SPECIALITE_SES.pdf,SPECIALITE_SES.pdf,EDS-SES/NT,2027,29
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Spécialité SES,UNIQUE,SPECIALITE_SES.pdf,SPECIALITE_SES.pdf,EDS-SES/NT,2027,30
PROFIL_A_PREMIERE_PARTIE,Première partie du baccalauréat,Spécialité SVT,UNIQUE,SPECIALITE_SVT.pdf,SPECIALITE_SVT.pdf,EDS-SVT/N1,2028,15
PROFIL_B_DEUXIEME_PARTIE,Deuxième partie du baccalauréat,Spécialité SVT,UNIQUE,SPECIALITE_SVT.pdf,SPECIALITE_SVT.pdf,EDS-SVT/NT,2027,29
PROFIL_C_BAC_EN_UNE_SESSION,Baccalauréat complet en une session,Spécialité SVT,UNIQUE,SPECIALITE_SVT.pdf,SPECIALITE_SVT.pdf,EDS-SVT/NT,2027,30
