instrument_code,level,subject,profile,eds,delivery_mode,current_for_2026_2027,candidate_pdf,coach_pdf,duration,version,sha256,ready_to_send
QP,Tous,Questionnaire de parcours et contraintes,P1/P2/P3,,SELF_ADMINISTERED,oui,TOUS_QUESTIONNAIRE-PARCOURS_DIAGNOSTIC_V1_QUESTIONNAIRE.pdf,,20,standard,7ed4f096e55d386f6d15829c5d5966cd157ae8aef7fb4d62b46bd88ab2edd3f8,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,non,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_DIAGNOSTIC_V1_CORRECTION.pdf,90,standard,db4951ad8d813837cfa58c2fd65dadc6076459d02a6780f77a68c2bfec7305c3,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_DIAGNOSTIC_V1_CORRECTION.pdf,90,standard_2028,c0ba536c600c90d781bfc6d155bcaf4e209e2c14e6bc49db630d9382f8e45d0b,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,non,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ECRIT-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ECRIT-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,80,ecrit,35dceca188b2b96412301d8501f179fae2f05bc2c4b493b452f4f7ba0585fddf,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ECRIT-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ECRIT-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,80,ecrit_2028,cefb45f207839890eb4ab2e143316e6da2bf273eafac0c5e2b8e3649fdb949e9,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,non,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ORAL-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2025-2026_ORAL-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,50,oral,766d6f67b767407b0baec4c6d73418cc41091f9a8a6daee149ff1dc058ee3832,oui
FR-EAF,Premiere,Français — préparation à l'épreuve anticipée (écrit et oral),P1/P2/P3,,SELF_ADMINISTERED,oui,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ORAL-SEUL_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_FRANCAIS-EAF_PROGRAMME-2026-2027_ORAL-SEUL_DIAGNOSTIC_V1_CORRECTION.pdf,50,oral_2028,d83d4d689560a74c0ee127de785e813f749731f83a9b537042b6efc47b418e13,oui
FR-EAF-ORAL,Premiere,Épreuve orale anticipée de français — grille coach,P1/P2/P3,,COACH_INTERVIEW,oui,,1RE_FRANCAIS-ORAL_DIAGNOSTIC_V1_CORRECTION.pdf,20,standard,362ddd9304c8b67f41058233950a4a572c5e2b2748f353b4d43f0d1fbd2eccda,oui
FR-MAI,Terminale,Maîtrise du français comme outil de travail,P2/P3,,SELF_ADMINISTERED,oui,TLE_FRANCAIS-MAITRISE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_FRANCAIS-MAITRISE_DIAGNOSTIC_V1_CORRECTION.pdf,60,standard,6f1f67a6e150ba79d89622ffae0233601c07685e8d8f38d088cc04c127010f27,oui
PHI,Terminale,Philosophie,P2/P3,,SELF_ADMINISTERED,oui,TLE_PHILOSOPHIE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_PHILOSOPHIE_DIAGNOSTIC_V1_CORRECTION.pdf,60,standard,ae64f741ed65ddbfa4504f63be0e5f7762fa8b9e0a7cb0a6aa97580003a2df49,oui
TC-ES,Premiere,Tronc commun — enseignement scientifique,P1,,SELF_ADMINISTERED,oui,1RE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CORRECTION.pdf,40,1RE,4833fda4145781a4a6fe0aba1f4924ca79bf7d6bb6c3be4c492a1088217f4932,oui
TC-ES,Terminale,Tronc commun — enseignement scientifique,P2,,SELF_ADMINISTERED,oui,TLE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_ENSEIGNEMENT-SCIENTIFIQUE_DIAGNOSTIC_V1_CORRECTION.pdf,40,TLE,60163bfc751fb26d9512ae8de4a514ec3db3f5df5cd5a17282f6f233b4e6e6ea,oui
TC-ES,Premiere-et-Terminale,Tronc commun — enseignement scientifique,P3,,SELF_ADMINISTERED,oui,1RE-TLE_ENSEIGNEMENT-SCIENTIFIQUE_ETENDUE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE-TLE_ENSEIGNEMENT-SCIENTIFIQUE_ETENDUE_DIAGNOSTIC_V1_CORRECTION.pdf,55,ETENDUE,44c048b37fe256b0b748dc3908f9ff55b6a3ca39c4608e037a7923972edda596,oui
MET,Tous,"Méthodes de travail, organisation, autonomie",P1/P2/P3,,SELF_ADMINISTERED,oui,TOUS_METHODES-DE-TRAVAIL_DIAGNOSTIC_V1_QUESTIONNAIRE.pdf,,20,standard,8b5c4f49451113fac1b80c7136408ae198a8527fa2bee8d767ead3ae88a0804f,oui
GO,Terminale,Grille d'entretien Grand oral — coach,P2/P3,,COACH_INTERVIEW,oui,,TLE_GRAND-ORAL_DIAGNOSTIC_V1_CORRECTION.pdf,15,standard,231fe2288c126da4dbcd39a4f2352bd10558b50a28e4a2145ea58558c39f8d50,oui
EDS-MATH,Premiere,Spécialité mathématiques,P1/P3,MATH,SELF_ADMINISTERED,oui,1RE_SPE-MATHS_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-MATHS_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,9c581f8873d171c226d166e934364432a98658fc80872e8c5adbf2d32e12b4d8,oui
EDS-MATH,Terminale,Spécialité mathématiques,P2/P3,MATH,SELF_ADMINISTERED,oui,TLE_SPE-MATHS_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-MATHS_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,56e859bde4503ed3a8ea5448b6ad40e27d9127cdc7f8d7e7a70b569f2a98cecd,oui
EDS-PC,Premiere,Spécialité physique-chimie,P1/P3,PC,SELF_ADMINISTERED,oui,1RE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,8c969312b8d44abf3c1d18e671ec076d2f5237f09bbf31ac43bb7812d236117a,oui
EDS-PC,Terminale,Spécialité physique-chimie,P2/P3,PC,SELF_ADMINISTERED,oui,TLE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-PHYSIQUE-CHIMIE_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,b1c5cd1b2471eaab12751c8f91882ae5d16282c63fa26ba722903cd3c8d01828,oui
EDS-NSI,Premiere,Spécialité numérique et sciences informatiques,P1/P3,NSI,SELF_ADMINISTERED,oui,1RE_SPE-NSI_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-NSI_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,9420442a695235a7d75eb372352a54f10c6bb856da874998c74194459607967f,oui
EDS-NSI,Terminale,Spécialité numérique et sciences informatiques,P2/P3,NSI,SELF_ADMINISTERED,oui,TLE_SPE-NSI_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-NSI_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,5d6808b7e3293bfd6e6c280bbda2dce3d1091d680f88dce2ae630d74e9096d95,oui
EDS-SVT,Premiere,Spécialité sciences de la vie et de la Terre,P1/P3,SVT,SELF_ADMINISTERED,oui,1RE_SPE-SVT_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-SVT_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,0ca7c00e80d19fcba06fbbb3fc5c92ed11be55878b19d5990b7d0ceca1fe8b3d,oui
EDS-SVT,Terminale,Spécialité sciences de la vie et de la Terre,P2/P3,SVT,SELF_ADMINISTERED,oui,TLE_SPE-SVT_DIAGNOSTIC_V1_CANDIDAT.pdf,TLE_SPE-SVT_DIAGNOSTIC_V1_CORRECTION.pdf,90,NT,dae943f882bd8c407cc9b3577dd6a7a7e2b2e96c3951015319141782581e353b,oui
EDS-SES,Premiere,Spécialité sciences économiques et sociales,P1/P3,SES,SELF_ADMINISTERED,oui,1RE_SPE-SES_DIAGNOSTIC_V1_CANDIDAT.pdf,1RE_SPE-SES_DIAGNOSTIC_V1_CORRECTION.pdf,75,N1,cb75aa5348694991628eb5681b78a7047d6f2c06d4b09ecbc663992ee644a735,oui
