# Surface API — extraction déterministe (v2)
#
# Généré par extract-routes.sh v2
# Date : 2026-06-27
#
# Format : ROUTE | METHODS | AUTH_CATEGORY | GUARD_DETAIL | ROLE_CONSTRAINTS | PRISMA_MUTATIONS

/api/admin/activities | GET | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN; | none
/api/admin/analytics | GET | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN; | none
/api/admin/dashboard | GET | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN; | none
/api/admin/directeur/stats | GET | INLINE_AUTH | auth() | userRole !== 'ADMIN'; | none
/api/admin/documents | POST | CENTRALIZED | requireAnyRole([UserRole.ADMIN, UserRole.ASSISTANTE]); | UserRole.ADMIN;UserRole.ASSISTANTE; | prisma.userDocument.create;
/api/admin/invoices/[id] | PATCH | INLINE_AUTH | auth() | canPerformStatusAction(userRole); | prisma.invoice.update;
/api/admin/invoices/[id]/send | POST | INLINE_AUTH | auth() | canPerformStatusAction(role); | prisma.invoice.update;
/api/admin/invoices | GET,POST | INLINE_AUTH | auth() | userRole !== 'ADMIN';userRole !== 'ASSISTANTE'; | prisma.invoice.create;prisma.invoice.update;
/api/admin/recompute-ssn | POST | INLINE_AUTH | auth() | userRole !== 'ADMIN'; | none
/api/admin/stages | GET,POST | CENTRALIZED | requireAnyRole([UserRole.ADMIN, UserRole.ASSISTANTE]);requireRole(UserRole.ADMIN); | UserRole.ADMIN;UserRole.ASSISTANTE; | prisma.stage.create;
/api/admin/stages/[stageId]/coaches | DELETE,GET,POST | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN; | prisma.stageCoach.create;prisma.stageCoach.deleteMany;
/api/admin/stages/[stageId] | DELETE,GET,PATCH | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN; | prisma.stage.update;
/api/admin/stages/[stageId]/sessions | GET,POST | CENTRALIZED | requireAnyRole([UserRole.ADMIN, UserRole.ASSISTANTE]); | UserRole.ADMIN;UserRole.ASSISTANTE; | prisma.stageSession.create;
/api/admin/stages/[stageId]/sessions/[sessionId] | DELETE,PATCH | CENTRALIZED | requireAnyRole([UserRole.ADMIN, UserRole.ASSISTANTE]); | UserRole.ADMIN;UserRole.ASSISTANTE; | prisma.stageSession.delete;prisma.stageSession.update;
/api/admin/subscriptions | GET,PUT | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN; | prisma.subscription.update;
/api/admin/test-email | GET,POST | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | none
/api/admin/users | DELETE,GET,PATCH,POST | CENTRALIZED | requireRole(UserRole.ADMIN); | UserRole.ADMIN;UserRole.ELEVE;; role !== 'ALL';role === 'COACH';role === 'ELEVE'; | prisma.student.upsert;prisma.user.create;prisma.user.delete;prisma.user.update;
/api/admin/users/search | GET | CENTRALIZED | requireAnyRole([UserRole.ADMIN]); | UserRole.ADMIN;UserRole.ELEVE;UserRole.PARENT; | none
/api/analytics/event | POST | PUBLIC | none | none | none
/api/aria/chat | POST | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | none
/api/aria/conversations | GET | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | none
/api/aria/feedback | POST | INLINE_AUTH | auth() | session.user.role !== 'ELEVE';; user.role !== 'ELEVE';; role !== 'ELEVE'; | none
/api/assessments/[id]/export | GET | INLINE_AUTH | auth() | none | none
/api/assessments/[id]/result | GET | INLINE_AUTH | auth() | none | none
/api/assessments/[id]/status | GET | INLINE_AUTH | auth() | none | none
/api/assessments/predict | POST | INLINE_AUTH | auth() | session.user.role === 'COACH';session.user.role === 'PARENT';; user.role === 'COACH';user.role === 'PARENT';; role === 'COACH';role === 'PARENT'; | none
/api/assessments/submit | POST | PUBLIC | none | none | prisma.assessment.create;prisma.assessment.update;prisma.domainScore.createMany;
/api/assessments/test | GET | INLINE_AUTH | auth() | session.user.role !== 'ADMIN';; user.role !== 'ADMIN';; role !== 'ADMIN'; | none
/api/assistante/activate-student | POST | INLINE_AUTH | auth() | none | none
/api/assistante/assignments/[id] | GET,PATCH | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | prisma.coachStudentAssignment.update;
/api/assistante/assignments | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | prisma.coachStudentAssignment.create;
/api/assistante/coaches/manage/[id] | DELETE,PUT | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | none
/api/assistante/coaches/manage | GET,POST | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | none
/api/assistante/coaches | GET | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | none
/api/assistante/credit-requests | GET,POST | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | prisma.creditTransaction.update;
/api/assistante/dashboard | GET | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | none
/api/assistante/planning | GET | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | none
/api/assistante/quotes/pdf | POST | CENTRALIZED | requireAnyRole([UserRole.ADMIN, UserRole.ASSISTANTE]); | UserRole.ADMIN;UserRole.ASSISTANTE; | none
/api/assistante/sessions | POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | role !== 'COACH';role !== 'ELEVE'; | none
/api/assistante/stages | GET | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | none
/api/assistante/students/credits | GET,POST | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | prisma.creditTransaction.create;
/api/assistante/students | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | role !== 'PARENT'; | prisma.user.update;
/api/assistante/students/[studentId]/documents | GET,POST | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | prisma.userDocument.create;
/api/assistante/students/[studentId] | GET | CENTRALIZED | requireAnyRole(['ADMIN', 'ASSISTANTE']); | none | none
/api/assistante/subscription-requests | GET,PATCH | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | none
/api/assistante/subscriptions | GET,POST | INLINE_AUTH | auth() | ['ADMIN', 'ASSISTANTE'].includes; | none
