ROUTE,NAV_LINK,PAGE_GUARD,MIDDLEWARE_GUARD,API_DEPENDENCIES,ROLE_ALLOWED,IDOR_SCOPE,DATA_SOURCE,EMPTY_STATE,ERROR_STATE,E2E_STATUS
/dashboard/admin/activities,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,SERVER_DB_OR_NONE,ADMIN,SERVER_QUERY_REVIEW_REQUIRED,SERVER_DB_OR_STATIC,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/admin/analytics,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,SERVER_DB_OR_NONE,ADMIN,SERVER_QUERY_REVIEW_REQUIRED,SERVER_DB_OR_STATIC,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/admin/documents,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,SERVER_DB_OR_NONE,ADMIN,SERVER_QUERY_REVIEW_REQUIRED,SERVER_DB_OR_STATIC,NOT_PROVEN,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/admin/facturation,NOT_PROVEN,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,/api/admin/invoices,ADMIN,API_DEPENDENT,API,PRESENT,PRESENT,MATCH_FOUND
/dashboard/admin,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,/api/admin/dashboard,ADMIN,API_DEPENDENT,API,PRESENT,PRESENT,MATCH_FOUND
/dashboard/admin/stages,NOT_PROVEN,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,/api/admin/stages|/api/admin/users,ADMIN,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/admin/subscriptions,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,/api/admin/subscriptions,ADMIN,API_DEPENDENT,API,NOT_PROVEN,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/admin/tests,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,/api/admin/test-email,ADMIN,API_DEPENDENT,API,NOT_PROVEN,PRESENT,MATCH_FOUND
/dashboard/admin/users,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ADMIN,/api/admin/users,ADMIN,API_DEPENDENT,API,NOT_PROVEN,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/assignments,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/assignments|/api/assistante/coaches|/api/assistante/students,ASSISTANTE,API_DEPENDENT,API,NOT_PROVEN,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/coaches,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/coaches/manage,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/credit-requests,NOT_PROVEN,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/credit-requests,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/credits,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/students/credits,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/devis,NOT_PROVEN,SERVER_AUTH_GUARD,PREFIX_ROLE_ASSISTANTE,SERVER_DB_OR_NONE,ASSISTANTE,SERVER_QUERY_REVIEW_REQUIRED,SERVER_DB_OR_STATIC,NOT_PROVEN,NOT_PROVEN,MATCH_FOUND
/dashboard/assistante/docs,FOUND,SERVER_AUTH_GUARD,PREFIX_ROLE_ASSISTANTE,SERVER_DB_OR_NONE,ASSISTANTE,SERVER_QUERY_REVIEW_REQUIRED,SERVER_DB_OR_STATIC,NOT_PROVEN,NOT_PROVEN,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/facturation,NOT_PROVEN,SERVER_AUTH_GUARD,PREFIX_ROLE_ASSISTANTE,SERVER_DB_OR_NONE,ASSISTANTE,SERVER_QUERY_REVIEW_REQUIRED,SERVER_DB_OR_STATIC,NOT_PROVEN,NOT_PROVEN,MATCH_FOUND
/dashboard/assistante,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/dashboard,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,MATCH_FOUND
/dashboard/assistante/paiements,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/payments/pending|/api/payments/validate,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/planning,NOT_PROVEN,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,SERVER_DB_OR_NONE,ASSISTANTE,SERVER_QUERY_REVIEW_REQUIRED,SERVER_DB_OR_STATIC,NOT_PROVEN,NOT_PROVEN,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/stages,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/stages,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/stages/planning,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/sessions|/api/sessions/cancel,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/students/[studentId],NOT_PROVEN,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/auth/resend-activation|/api/auth/reset-password,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
/dashboard/assistante/students,FOUND,NO_PAGE_GUARD_FOUND,PREFIX_ROLE_ASSISTANTE,/api/assistante/students|/api/assistante/students/credits,ASSISTANTE,API_DEPENDENT,API,PRESENT,PRESENT,NO_DIRECT_MATCH_PROVEN
